Footprint,Churn_Class,Model_Name,Accuracy,Ingestion_Date,Quarter,Prod_grp
U,REG,LR,92%,02-01-2023,1,BROAD
U,IRR,LGB,93%,02-01-2023,1,BROAD
U,MOV,RF,89%,02-01-2023,1,BROAD
U,BP,ET,84%,02-01-2023,1,BROAD
U,REG,LR,87%,09-01-2023,1,BROAD
U,IRR,LGB,89%,09-01-2023,1,BROAD
U,MOV,LGB,92%,09-01-2023,1,BROAD
U,BP,RF,93%,09-01-2023,1,BROAD
U,REG,ET,89%,16-01-2023,1,BROAD
U,IRR,LGB,84%,16-01-2023,1,BROAD
U,MOV,RF,87%,16-01-2023,1,BROAD
U,BP,ET,93%,16-01-2023,1,BROAD
U,REG,LR,93%,23-01-2023,1,BROAD
U,IRR,LGB,91%,23-01-2023,1,BROAD
U,MOV,LGB,92%,23-01-2023,1,BROAD
U,BP,RF,92%,23-01-2023,1,BROAD
U,REG,ET,98%,30-01-2023,1,BROAD
U,IRR,LR,89%,30-01-2023,1,BROAD
U,MOV,LGB,92%,30-01-2023,1,BROAD
U,BP,RF,93%,30-01-2023,1,BROAD
U,REG,ET,89%,06-02-2023,1,BROAD
U,IRR,LR,84%,06-02-2023,1,BROAD
U,MOV,LGB,87%,06-02-2023,1,BROAD
U,BP,RF,93%,06-02-2023,1,BROAD
U,REG,ET,93%,13-02-2023,1,BROAD
U,IRR,LR,95%,13-02-2023,1,BROAD
U,MOV,LGB,96%,13-02-2023,1,BROAD
U,BP,RF,94%,13-02-2023,1,BROAD
U,REG,ET,93%,20-02-2023,1,BROAD
U,IRR,LR,98%,20-02-2023,1,BROAD
U,MOV,LGB,89%,20-02-2023,1,BROAD
U,BP,RF,92%,20-02-2023,1,BROAD
U,REG,ET,93%,27-02-2023,1,BROAD
U,IRR,LR,89%,27-02-2023,1,BROAD
U,MOV,LGB,84%,27-02-2023,1,BROAD
U,BP,RF,87%,27-02-2023,1,BROAD
U,REG,ET,93%,06-03-2023,1,BROAD
U,IRR,LR,93%,06-03-2023,1,BROAD
U,MOV,LGB,89%,06-03-2023,1,BROAD
U,BP,RF,89%,06-03-2023,1,BROAD
U,REG,LR,92%,13-03-2023,1,BROAD
U,IRR,LGB,92%,13-03-2023,1,BROAD
U,MOV,RF,98%,13-03-2023,1,BROAD
U,BP,ET,89%,13-03-2023,1,BROAD
U,REG,LR,92%,20-03-2023,1,BROAD
U,IRR,LGB,93%,20-03-2023,1,BROAD
U,MOV,RF,89%,20-03-2023,1,BROAD
U,BP,ET,84%,20-03-2023,1,BROAD
U,REG,LR,87%,27-03-2023,1,BROAD
U,IRR,LGB,93%,27-03-2023,1,BROAD
U,MOV,RF,93%,27-03-2023,1,BROAD
U,BP,ET,98%,27-03-2023,1,BROAD
U,REG,RF,95%,03-04-2023,2,BROAD
U,IRR,ET,98%,03-04-2023,2,BROAD
U,MOV,LR,89%,03-04-2023,2,BROAD
U,BP,LGB,92%,03-04-2023,2,BROAD
U,REG,RF,93%,10-04-2023,2,BROAD
U,IRR,ET,89%,10-04-2023,2,BROAD
U,MOV,LGB,84%,10-04-2023,2,BROAD
U,BP,RF,87%,10-04-2023,2,BROAD
U,REG,LR,93%,17-04-2023,2,BROAD
U,IRR,LGB,93%,17-04-2023,2,BROAD
U,MOV,RF,93%,17-04-2023,2,BROAD
U,BP,ET,92%,17-04-2023,2,BROAD
U,REG,LR,98%,24-04-2023,2,BROAD
U,IRR,LGB,95%,24-04-2023,2,BROAD
U,MOV,RF,98%,24-04-2023,2,BROAD
U,BP,ET,89%,24-04-2023,2,BROAD
